"","GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster"
"39","GO:0071840","cellular component organization or biogenesis","BP",9.34820777732926e-31,2.00914557921984e-28,27.6969885938833,2.04789724686462,395.913495176508,578,6717,"7"
"40","GO:1901575","organic substance catabolic process","BP",4.63107300079083e-30,9.70441347315719e-28,27.013030707887,2.48381032412965,130.969150853387,262,2222,"7"
"41","GO:1901566","organonitrogen compound biosynthetic process","BP",1.00571002553422e-29,2.05606376439702e-27,26.6869634207583,2.61839326160815,107.804940103891,229,1829,"7"
"42","GO:0006886","intracellular protein transport","BP",1.58360874809094e-29,3.1604306015472e-27,26.5002537417058,3.03027968937433,69.7284002968303,172,1183,"7"
"43","GO:0002181","cytoplasmic translation","BP",1.94169093775432e-29,3.78494266052481e-27,26.4219406953994,13.3975511010171,6.07102724477897,46,103,"7"
"44","GO:0048522","positive regulation of cellular process","BP",2.03442312382428e-29,3.87557605088526e-27,26.4116637364797,2.03861903147095,337.266193151701,510,5722,"7"
"45","GO:0048518","positive regulation of biological process","BP",4.79706468660271e-29,8.93533248957865e-27,26.0488892824753,2.01132790250117,374.046008692887,549,6346,"7"
"46","GO:0070727","cellular macromolecule localization","BP",2.82840555413888e-28,5.15384681625916e-26,25.2878684937871,2.4973191696675,117.471430085869,239,1993,"7"
"47","GO:0034613","cellular protein localization","BP",3.61436227981003e-28,6.44586907007822e-26,25.1907185202199,2.49665400614939,116.940951977102,238,1984,"7"
"48","GO:0016043","cellular component organization","BP",5.14766615628409e-28,8.9891120254111e-26,25.0462832072113,1.98148240383121,384.655570868229,557,6526,"7"
"49","GO:0009056","catabolic process","BP",2.09010407899197e-27,3.57535763063483e-25,24.446680510718,2.27633626501656,158.141418424679,291,2683,"7"
"50","GO:0006810","transport","BP",2.67971310293592e-26,4.49227104576178e-24,23.3475340480189,1.97818604325246,307.913071133256,467,5224,"7"
"51","GO:0051179","localization","BP",6.83946511630134e-26,1.124086207938e-23,22.9492003807633,1.92174925860207,404.636912965122,571,6865,"7"
"52","GO:0051234","establishment of localization","BP",2.78835023793668e-25,4.49460609507408e-23,22.3473083636041,1.94560963114754,315.457648680165,472,5352,"7"
"53","GO:0044248","cellular catabolic process","BP",5.58876104541351e-25,8.83867831748227e-23,22.053612671903,2.27841393702931,136.509699989399,256,2316,"7"
"54","GO:0045184","establishment of protein localization","BP",8.30179480644553e-25,1.28862303828938e-22,21.8898741085069,2.33836570808464,122.599385137284,237,2080,"7"
"55","GO:0015031","protein transport","BP",2.84558045891228e-24,4.33666461938231e-22,21.3628441631829,2.34827722078718,116.999893989187,228,1985,"7"
"56","GO:0015833","peptide transport","BP",8.36096298621319e-24,1.25145699554355e-21,20.9025840696826,2.31702851890571,119.416516484681,230,2026,"7"
"57","GO:0008104","protein localization","BP",1.22403032857538e-23,1.79996880949454e-21,20.7447350204421,2.13259805825243,164.330329693629,288,2788,"7"
"58","GO:1901576","organic substance biosynthetic process","BP",2.80256376482804e-23,4.05018784082563e-21,20.3925248344786,1.86524050440307,365.676242976784,520,6204,"7"
"59","GO:0009058","biosynthetic process","BP",3.74570660730546e-23,5.3214428444804e-21,20.2739705980737,1.8599653374428,370.745256016114,525,6290,"7"
"60","GO:0042886","amide transport","BP",8.4200479609305e-23,1.17628070014199e-20,19.9294890286204,2.26775326915765,121.479486907665,230,2061,"7"
"61","GO:0010033","response to organic substance","BP",3.25716582194318e-22,4.47566621631603e-20,19.3491423095023,2.00188791641846,199.518710908513,327,3385,"7"
"62","GO:0044249","cellular biosynthetic process","BP",4.94217160135513e-22,6.6814971552514e-20,19.1751262121635,1.83441772371387,359.78204176826,509,6104,"7"
"63","GO:0044271","cellular nitrogen compound biosynthetic process","BP",1.3573822167605e-21,1.80596472077564e-19,18.7432907378111,1.86324078113547,292.352379942754,433,4960,"7"
"64","GO:0071705","nitrogen compound transport","BP",1.8339283738292e-21,2.40187306709943e-19,18.6194499476887,2.13878431029199,139.692568642001,250,2370,"7"
"65","GO:0034645","cellular macromolecule biosynthetic process","BP",5.33875724882789e-21,6.88453280918083e-19,18.1621255260358,1.84644939623341,292.52920597901,431,4963,"7"
"66","GO:0019222","regulation of metabolic process","BP",1.08542029893367e-20,1.37848377964577e-18,17.860598339788,1.77882201376956,445.189017279763,594,7553,"7"
"67","GO:0009059","macromolecule biosynthetic process","BP",1.30387886902199e-20,1.6130138414587e-18,17.7923619058638,1.82972409874361,300.07378352592,438,5091,"7"
"68","GO:0009892","negative regulation of metabolic process","BP",1.30857720376034e-20,1.6130138414587e-18,17.7923619058638,1.90929024812464,225.040602141418,352,3818,"7"
"69","GO:0044260","cellular macromolecule metabolic process","BP",1.35556095183619e-20,1.64671186931753e-18,17.7833823841407,1.77755156026184,495.584437612636,645,8408,"7"
"70","GO:1901564","organonitrogen compound metabolic process","BP",1.4705260810224e-20,1.76084994444711e-18,17.7542776520255,1.78102687352756,403.517014735503,550,6846,"7"
"71","GO:0044267","cellular protein metabolic process","BP",2.3508507671862e-20,2.77532832824715e-18,17.5566856313841,1.81201576375231,315.339764655995,454,5350,"7"
"72","GO:0048523","negative regulation of cellular process","BP",3.50160878744595e-20,4.07645623005166e-18,17.3897172164453,1.81593848211809,302.431464009329,439,5131,"7"
"73","GO:0033036","macromolecule localization","BP",3.64499644536853e-20,4.18525482261357e-18,17.3782780944961,1.96166648520011,187.023004346443,305,3173,"7"
"74","GO:0044085","cellular component biogenesis","BP",7.14718419391787e-20,8.09563485316481e-18,17.0917490885517,1.94211197489818,191.974133361603,310,3257,"7"
"75","GO:0019538","protein metabolic process","BP",1.47907862120393e-19,1.65301826705752e-17,16.7817223471312,1.77235830954496,347.404219230361,486,5894,"7"
"76","GO:0010605","negative regulation of macromolecule metabolic process","BP",2.10032002383334e-19,2.31643189996987e-17,16.6351804629558,1.89353040154864,210.894519240963,331,3578,"7"
"77","GO:0043933","protein-containing complex subunit organization","BP",2.46500616204756e-19,2.68333527925748e-17,16.5713250594063,2.15203654071194,116.940951977102,214,1984,"7"
"78","GO:0070887","cellular response to chemical stimulus","BP",2.83108447987116e-19,3.0423269372154e-17,16.5167941172393,1.91007574698369,198.693522739319,316,3371,"7"
"79","GO:0044237","cellular metabolic process","BP",3.08577408684726e-19,3.27404536657642e-17,16.4849153071118,1.81254780797229,670.995865578289,809,11384,"7"
"80","GO:0006915","apoptotic process","BP",2.3021778593257e-18,2.41210685210851e-16,15.6176034576209,2.10864474339811,117.648256122124,212,1996,"7"
"81","GO:0060255","regulation of macromolecule metabolic process","BP",1.39154602387974e-17,1.43999244100741e-15,14.8416397876529,1.69704769679096,413.301388741652,548,7012,"7"
"82","GO:0009893","positive regulation of metabolic process","BP",1.5132140274748e-17,1.5467999973529e-15,14.8105658373422,1.80926993798281,228.695006890703,345,3880,"7"
"83","GO:0010941","regulation of cell death","BP",1.86400769260126e-17,1.8824231902872e-15,14.7252827355602,2.14221469763505,103.030637124987,190,1748,"7"
"84","GO:0022607","cellular component assembly","BP",1.93958731130949e-17,1.93543105278525e-15,14.7132222952457,1.88923952002493,177.533340400721,284,3012,"7"
"85","GO:0042221","response to chemical","BP",2.41702790848742e-17,2.38347387399312e-15,14.6227896041493,1.74913293677704,282.037527827838,405,4785,"7"
"86","GO:0008219","cell death","BP",3.12340124643327e-17,3.0442266566981e-15,14.5165230154729,1.99653175100692,134.446729566416,230,2281,"7"
"87","GO:0010468","regulation of gene expression","BP",3.75863939463373e-17,3.62125464434711e-15,14.4411409347946,1.71822254067685,319.760415562387,446,5425,"7"
"88","GO:0007399","nervous system development","BP",4.28737091295585e-17,4.08372079459045e-15,14.3889439584347,1.95947794113818,144.348987596735,242,2449,"7"
"89","GO:0010629","negative regulation of gene expression","BP",4.63982901505821e-17,4.36978053979976e-15,14.3595403737269,1.90811278794267,163.033605427754,265,2766,"7"
"90","GO:0043067","regulation of programmed cell death","BP",6.91117339128546e-17,6.43660615175053e-15,14.1913430640191,2.16072456931637,95.3092335418213,178,1617,"7"
"91","GO:0012501","programmed cell death","BP",8.09626138979936e-17,7.45745746915365e-15,14.1274092147965,2.00980916212776,126.076963850313,218,2139,"7"
"92","GO:0065003","protein-containing complex assembly","BP",1.48101460963311e-16,1.34933309325486e-14,13.8698808281592,2.1145951334451,100.555072617407,184,1706,"7"
"93","GO:0050789","regulation of biological process","BP",3.1140526957638e-16,2.80666555869809e-14,13.5518093346635,1.7582312670801,728.759037421817,850,12364,"7"
"94","GO:0042981","regulation of apoptotic process","BP",3.31159132303592e-16,2.95295302869011e-14,13.5297434611091,2.13705600548537,93.8356832396905,174,1592,"7"
"95","GO:0071310","cellular response to organic substance","BP",3.84253540016166e-16,3.39032965517421e-14,13.469758071572,1.87571335385224,162.444185306901,261,2756,"7"
"96","GO:0009628","response to abiotic stimulus","BP",5.31945302224072e-16,4.64454742004393e-14,13.3330565986894,2.28349046883537,73.0291529736033,145,1239,"7"
"97","GO:0071702","organic substance transport","BP",7.96915392181498e-16,6.88633486316012e-14,13.1620118625947,1.85804672704979,165.037633838652,263,2800,"7"
"98","GO:0022613","ribonucleoprotein complex biogenesis","BP",8.84218331140698e-16,7.56277352206258e-14,13.121318904971,3.18691000178923,28.4100498250822,77,482,"7"
"99","GO:0033554","cellular response to stress","BP",1.37298680786113e-15,1.16246216398909e-13,12.9346211736966,1.96682528500478,123.778225378989,211,2100,"7"
"100","GO:0010628","positive regulation of gene expression","BP",2.34865437257028e-15,1.96864209508841e-13,12.7058332326972,1.91486478155106,136.332873953143,226,2313,"7"
"101","GO:0051128","regulation of cellular component organization","BP",3.23952089836642e-15,2.68848160100073e-13,12.5704929313316,1.889158939607,143.17014735503,234,2429,"7"
"102","GO:0065007","biological regulation","BP",3.5096673929905e-15,2.88412079294572e-13,12.5399865544203,1.75953947005062,768.014417470582,881,13030,"7"
"103","GO:0034641","cellular nitrogen compound metabolic process","BP",4.4536268191165e-15,3.62430097066354e-13,12.4407757446401,1.62523067837898,413.537156789993,537,7016,"7"
"104","GO:0006996","organelle organization","BP",5.81640134493283e-15,4.68779577627182e-13,12.3290313166082,1.71454566228402,238.597264921022,346,4048,"7"
"105","GO:0010604","positive regulation of macromolecule metabolic process","BP",1.6116947110693e-14,1.28659286363647e-12,11.8905588618366,1.73264255058246,210.658751192622,312,3574,"7"
"106","GO:0022618","ribonucleoprotein complex assembly","BP",1.77165394085106e-14,1.40094371058619e-12,11.8535793141596,4.28425116846169,13.7334888158592,48,233,"7"
"107","GO:0042127","regulation of cell population proliferation","BP",1.8611557195793e-14,1.45796329359941e-12,11.8362534098918,1.99775985663082,104.091593342521,182,1766,"7"
"108","GO:0034622","cellular protein-containing complex assembly","BP",1.96411744941169e-14,1.52437337601563e-12,11.8169086450156,2.25188806061347,66.8402417046539,132,1134,"7"
"109","GO:0042255","ribosome assembly","BP",2.15281127801255e-14,1.65549212222946e-12,11.7810728815265,9.69904060980418,3.94911480971059,25,67,"7"
"110","GO:0051239","regulation of multicellular organismal process","BP",3.14539487977154e-14,2.39679089838591e-12,11.6203698531747,1.73646540525992,200.520725113962,299,3402,"7"
"111","GO:0046034","ATP metabolic process","BP",5.13940448664837e-14,3.88094490153933e-12,11.4110625229717,3.6391265597148,18.3309657585074,56,311,"7"
"112","GO:0071826","ribonucleoprotein complex subunit organization","BP",5.78800225329002e-14,4.33169954348901e-12,11.3633416746529,4.12640977443609,14.1460829004558,48,240,"7"
"113","GO:1903311","regulation of mRNA metabolic process","BP",9.82684649648707e-14,7.28925905606678e-12,11.1373166149215,3.43436797121008,20.27605215732,59,344,"7"
"114","GO:0051240","positive regulation of multicellular organismal process","BP",1.36572660219034e-13,1.00416845434732e-11,10.9981934259791,1.93613925025993,108.689070285169,185,1844,"7"
"115","GO:0043065","positive regulation of apoptotic process","BP",1.83499584887999e-13,1.33747262654888e-11,10.8737150977257,2.57931003727787,40.3163362662992,91,684,"7"
"116","GO:0010467","gene expression","BP",2.16556248096808e-13,1.56480557892021e-11,10.8055396141861,1.57604111216844,407.937665641895,523,6921,"7"
"117","GO:0051246","regulation of protein metabolic process","BP",2.27096479274073e-13,1.62694246946605e-11,10.7886278039379,1.75408589889776,170.401356938408,260,2891,"7"
"118","GO:0031325","positive regulation of cellular metabolic process","BP",2.31857851762082e-13,1.64697670633032e-11,10.7833125431397,1.70697993336458,199.341884872257,294,3382,"7"
"119","GO:0008283","cell population proliferation","BP",2.84020938816775e-13,2.00055757072455e-11,10.6988489462654,1.87603661398842,120.654298738471,199,2047,"7"
"120","GO:0010942","positive regulation of cell death","BP",2.91911432604207e-13,2.03900135674039e-11,10.6905824852446,2.48634766807995,43.9707410155836,96,746,"7"
"121","GO:0065008","regulation of biological quality","BP",3.24161757210645e-13,2.2455568999501e-11,10.6486759359158,1.65306300082896,241.780133573625,342,4102,"7"
"122","GO:0031323","regulation of cellular metabolic process","BP",3.29525652346775e-13,2.26400329341858e-11,10.6451229457203,1.57780829478339,376.462631188381,489,6387,"7"
"123","GO:0043068","positive regulation of programmed cell death","BP",3.94023398300741e-13,2.68512530451773e-11,10.5710354426308,2.53941644078992,40.8468143750663,91,693,"7"
"124","GO:0006807","nitrogen compound metabolic process","BP",4.86863403565949e-13,3.29103955539499e-11,10.4826668978373,1.58257780095667,625.315806212234,739,10609,"7"
"125","GO:0009894","regulation of catabolic process","BP",8.37030225863978e-13,5.61278988255349e-11,10.2508212154956,2.21052184569092,60.8281564719601,119,1032,"7"
"126","GO:0022008","neurogenesis","BP",1.1440704377436e-12,7.61079238822767e-11,10.1185701248431,1.93492952089712,98.6689282306795,169,1674,"7"
"127","GO:0048699","generation of neurons","BP",2.40091133577159e-12,1.58460148160925e-10,9.80007994234202,1.94814947255498,92.5389589738153,160,1570,"7"
"128","GO:0023051","regulation of signaling","BP",2.64041927388061e-12,1.72906205888026e-10,9.76218941890331,1.64727601654415,216.376126364889,309,3671,"7"
"129","GO:0036293","response to decreased oxygen levels","BP",2.72429420293564e-12,1.77015767511679e-10,9.75198804754594,3.13231426692965,21.8674864836213,59,371,"7"
"130","GO:0045595","regulation of cell differentiation","BP",2.80265328307017e-12,1.80706460143802e-10,9.74302632140334,1.85013868072424,114.760097529948,188,1947,"7"
"131","GO:0032502","developmental process","BP",3.55915355027412e-12,2.27731488995402e-10,9.64257691426221,1.54191074163714,391.905438354712,500,6649,"7"
"132","GO:0050793","regulation of developmental process","BP",3.72265364069378e-12,2.36388506184055e-10,9.62637364378991,1.71691717277639,164.507155729884,248,2791,"7"
"133","GO:0007155","cell adhesion","BP",3.75389459816595e-12,2.36580033998699e-10,9.62602191013107,1.96802824004034,86.880525813633,152,1474,"7"
"134","GO:0010646","regulation of cell communication","BP",5.10342622427811e-12,3.19230735909695e-10,9.49589530092609,1.63949536564084,214.01844588148,305,3631,"7"
"135","GO:0048731","system development","BP",5.15608164036074e-12,3.20135380070398e-10,9.4946663267298,1.57222785821882,297.362450969999,398,5045,"7"
"136","GO:0022610","biological adhesion","BP",5.42270973451703e-12,3.34214360255307e-10,9.4759748936238,1.95682844243792,87.2931198982296,152,1481,"7"
"137","GO:0048583","regulation of response to stimulus","BP",5.8978240300568e-12,3.60843511094424e-10,9.44268110004121,1.59491451633779,259.52167921128,356,4403,"7"
"138","GO:0051173","positive regulation of nitrogen compound metabolic process","BP",6.43261543690764e-12,3.90711468059129e-10,9.40814384129197,1.66841726598107,188.378670624404,275,3196,"7"
"139","GO:0034097","response to cytokine","BP",6.53025650646726e-12,3.93788561418767e-10,9.40473690319246,2.0491920603858,72.3218488285805,132,1227,"7"
"140","GO:0048584","positive regulation of response to stimulus","BP",6.619358517215e-12,3.96310450652115e-10,9.40196447522901,1.74617991485461,145.292059790099,224,2465,"7"
"141","GO:0080090","regulation of primary metabolic process","BP",6.7602927961029e-12,4.01877831325777e-10,9.39590595001206,1.54048411873026,363.907982614227,469,6174,"7"
"142","GO:0001666","response to hypoxia","BP",6.86904707629555e-12,4.05467271785277e-10,9.3920441951068,3.12219955431405,21.1601823385985,57,359,"7"
"143","GO:0051130","positive regulation of cellular component organization","BP",7.61622172820215e-12,4.46427765914618e-10,9.35024880195466,2.04953790528325,71.7324287077282,131,1217,"7"
"144","GO:0032268","regulation of cellular protein metabolic process","BP",8.06185921915297e-12,4.66322713620181e-10,9.33131343043942,1.70724291773,162.326301282731,244,2754,"7"
"145","GO:0008152","metabolic process","BP",8.06690449474187e-12,4.66322713620181e-10,9.33131343043942,1.60549238373251,748.917205554967,849,12706,"7"
"146","GO:0044238","primary metabolic process","BP",8.18398394775954e-12,4.69850366096715e-10,9.32804043041612,1.55168952366478,654.78681225485,761,11109,"7"
"147","GO:0070482","response to oxygen levels","BP",1.42231633130638e-11,8.11010577483678e-10,9.09097348153134,2.95661325366649,23.3410367857521,60,396,"7"
"148","GO:0080134","regulation of response to stress","BP",1.55600031207993e-11,8.81242879449592e-10,9.05490437913898,1.91272329203364,90.8296406233436,155,1541,"7"
"149","GO:0009891","positive regulation of biosynthetic process","BP",2.01361900956349e-11,1.13276204954102e-09,8.94586130939919,1.80002304960708,117.353546061698,188,1991,"7"
"150","GO:0031329","regulation of cellular catabolic process","BP",2.05087031584696e-11,1.14602633249528e-09,8.9408054033756,2.22152054583697,51.5153185624934,102,874,"7"
"151","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",2.24983678979557e-11,1.24066657710963e-09,8.90634491727429,2.94929750418169,22.9873847132408,59,390,"7"
"152","GO:0000398","mRNA splicing, via spliceosome","BP",2.24983678979557e-11,1.24066657710963e-09,8.90634491727429,2.94929750418169,22.9873847132408,59,390,"7"
"153","GO:0051171","regulation of nitrogen compound metabolic process","BP",2.33575249928399e-11,1.27929881606025e-09,8.89302800203527,1.52677313215119,352.473232269691,454,5980,"7"
"154","GO:0042254","ribosome biogenesis","BP",2.35041777228917e-11,1.27929881606025e-09,8.89302800203527,3.24690046179207,18.2720237464221,51,310,"7"
"155","GO:0016310","phosphorylation","BP",2.38926388941675e-11,1.29205225297363e-09,8.88871992231677,1.72315013258015,144.702639669246,221,2455,"7"
"156","GO:0006950","response to stress","BP",2.60980701373365e-11,1.40226938391766e-09,8.85316854791656,1.58349500316256,245.316654298738,337,4162,"7"
"157","GO:0051172","negative regulation of nitrogen compound metabolic process","BP",2.7366816117606e-11,1.46107422100493e-09,8.83532772181098,1.7058204265229,151.598855083218,229,2572,"7"
"158","GO:0006119","oxidative phosphorylation","BP",2.87291419530505e-11,1.52409916361056e-09,8.81698677524851,4.65033076603496,8.78235980069967,33,149,"7"
"159","GO:0000375","RNA splicing, via transesterification reactions","BP",3.09153767686124e-11,1.62976533380194e-09,8.78787492416767,2.92230354106602,23.1642107494964,59,393,"7"
"160","GO:0009719","response to endogenous stimulus","BP",3.16837971473928e-11,1.65983492305904e-09,8.77993510206202,1.86254482264608,97.9616240856567,163,1662,"7"
"161","GO:0010557","positive regulation of macromolecule biosynthetic process","BP",3.72419562606803e-11,1.93889489054051e-09,8.71244573382772,1.81698621698622,108.512244248913,176,1841,"7"
"162","GO:0009966","regulation of signal transduction","BP",3.85058313869883e-11,1.99232023880084e-09,8.70064085327877,1.6362178274322,189.675394890279,273,3218,"7"
"163","GO:0007275","multicellular organism development","BP",3.91697547719068e-11,2.01423855520321e-09,8.69588909531515,1.52714814471474,331.136223894837,430,5618,"7"
"164","GO:0031328","positive regulation of cellular biosynthetic process","BP",4.57005739270866e-11,2.33574518693195e-09,8.63157453739246,1.78940886699507,115.23163362663,184,1955,"7"
"165","GO:0030182","neuron differentiation","BP",4.89921441825483e-11,2.48880092447345e-09,8.60400984057918,1.9268854685267,82.8724689918372,143,1406,"7"
"166","GO:0071345","cellular response to cytokine stimulus","BP",5.0486216940768e-11,2.54924982167179e-09,8.59358760240553,2.03442711135019,66.9581257288243,122,1136,"7"
"167","GO:0031324","negative regulation of cellular metabolic process","BP",5.11251600423677e-11,2.56605443997082e-09,8.59073413411537,1.67149125792414,163.564083536521,242,2775,"7"
"168","GO:0006139","nucleobase-containing compound metabolic process","BP",6.24661653172523e-11,3.11661546243577e-09,8.50631677900146,1.50841889006465,366.914025230574,467,6225,"7"
"169","GO:0030155","regulation of cell adhesion","BP",6.69261838620397e-11,3.31938031438827e-09,8.47894298592287,2.30029718333054,43.3813208947313,89,736,"7"
"170","GO:0016070","RNA metabolic process","BP",6.7750273808169e-11,3.34048702976513e-09,8.47619021015856,1.52961536995387,307.264709000318,403,5213,"7"
"171","GO:0008380","RNA splicing","BP",7.38762425526358e-11,3.6212319595099e-09,8.44114365537943,2.64611073137389,28.7047598855083,67,487,"7"
"172","GO:0051094","positive regulation of developmental process","BP",7.47297431188185e-11,3.64177155129033e-09,8.43868730102484,1.89652849740933,86.4679317290364,147,1467,"7"
"173","GO:0050794","regulation of cellular process","BP",7.81492259722443e-11,3.78639775779972e-09,8.4217737657172,1.5242640189056,673.884024170465,774,11433,"7"
"174","GO:0048856","anatomical structure development","BP",1.00466904348136e-10,4.83973328877055e-09,8.31517857108427,1.50350086966693,360.430403901198,459,6115,"7"
"175","GO:0031175","neuron projection development","BP",1.03522831041874e-10,4.9584478273885e-09,8.30465425203761,2.07901664520129,59.531432206085,111,1010,"7"
"176","GO:0051716","cellular response to stimulus","BP",1.0780390993458e-10,5.13416121063436e-09,8.28953049877526,1.48555143897008,456.682709636383,559,7748,"7"
"177","GO:0048666","neuron development","BP",1.52777275654315e-10,7.23491030810432e-09,8.14056684850304,1.99898104466618,67.370719813421,121,1143,"7"
"178","GO:0048585","negative regulation of response to stimulus","BP",1.79372289198629e-10,8.44662094417363e-09,8.07331699504992,1.80026805092968,103.384289197498,167,1754,"7"
