map	cluster	NAME	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GTE	cluster5	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.5156823	1.4855472	0.0040444895	0.02014882	0.116	6877	tags=39%, list=21%, signal=49%	
GTE	cluster5	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.53489465	1.4720043	0.024134312	0.019321432	0.134	6713	tags=34%, list=21%, signal=43%	
GTE	cluster6	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.3888411	1.0963109	0.37526205	1.0	0.956	4633	tags=25%, list=14%, signal=29%	
GTE	cluster6	FRIDMAN_SENESCENCE_UP	77	0.30593303	0.8821341	0.68541664	1.0	0.999	3710	tags=17%, list=11%, signal=19%	
GTE	cluster6	FRIDMAN_IMMORTALIZATION_DN	33	0.33338213	0.86863023	0.6730769	1.0	0.999	6915	tags=36%, list=21%, signal=46%	
GTE	cluster6	REACTOME_CELLULAR_SENESCENCE	129	0.28011703	0.8293425	0.81432897	1.0	1.0	4633	tags=19%, list=14%, signal=22%	
GTE	cluster6	REACTOME_ONCOGENE_INDUCED_SENESCENCE	33	0.29429722	0.76943254	0.7867133	0.96245444	1.0	6337	tags=27%, list=19%, signal=34%	
GTE	cluster6	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.25239843	0.63596034	0.89953274	0.92042094	1.0	4404	tags=18%, list=14%, signal=21%	
GTE	cluster8	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.62275016	1.5394015	0.019480519	0.055892866	0.069	5629	tags=39%, list=17%, signal=47%	
GTE	cluster8	FRIDMAN_SENESCENCE_DN	12	0.6147386	1.3466735	0.1329114	0.2157857	0.435	3458	tags=25%, list=11%, signal=28%	
GTE	cluster8	REACTOME_CELLULAR_SENESCENCE	129	0.44872838	1.2546049	0.057	0.2947215	0.694	8400	tags=42%, list=26%, signal=56%	
GTE	cluster8	REACTOME_ONCOGENE_INDUCED_SENESCENCE	33	0.45093793	1.1482097	0.29673913	0.4101254	0.902	9808	tags=52%, list=30%, signal=74%	
GTE	cluster8	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.39069673	1.0598848	0.41935483	0.5000482	0.987	9261	tags=47%, list=28%, signal=65%	
GTE	cluster8	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.28838938	0.7525151	0.8253138	0.83862174	1.0	7737	tags=29%, list=24%, signal=38%	
GTE	cluster9	FRIDMAN_SENESCENCE_UP	77	0.51065296	1.3571609	0.031155778	0.4022498	0.364	6432	tags=38%, list=20%, signal=47%	
GTE	cluster9	FRIDMAN_IMMORTALIZATION_DN	33	0.47136262	1.1597172	0.27415967	0.8871426	0.89	5474	tags=30%, list=17%, signal=36%	
GTE	cluster9	FRIDMAN_SENESCENCE_DN	12	0.48330322	1.037492	0.4520548	1.0	0.993	1608	tags=17%, list=5%, signal=18%	
GTE	cluster9	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.37204126	0.944507	0.59170985	1.0	1.0	8421	tags=34%, list=26%, signal=46%	
GTE	cluster9	REACTOME_CELLULAR_SENESCENCE	129	0.26670656	0.72048	0.948	1.0	1.0	9538	tags=33%, list=29%, signal=47%	
GTE	cluster9	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.2921858	0.7039146	0.84887457	1.0	1.0	6646	tags=21%, list=20%, signal=27%	
GTE	cluster9	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.23395962	0.613587	0.95669687	0.9440097	1.0	9410	tags=33%, list=29%, signal=46%	
